Number of Pretraining Data,Method,Absolute Error,Relative Error
30,penalty,0.6421153,1.0235621
30,ALM,0.77411944,1.3489794
30,SQP,0.019014306,0.049193054
45,penalty,0.64585304,1.0281817
45,ALM,0.6449202,1.025445
45,SQP,0.014354964,0.08572356
150,penalty,0.5157208,0.8746435
150,ALM,0.48209116,0.84787446
150,SQP,0.007236578,0.032146387
300,penalty,0.47495976,0.84514785
300,ALM,0.44167823,0.7953628
300,SQP,0.008519844,0.016824333
