Number of Pretraining Data,Method,Absolute Error,Relative Error
30,penalty,0.4142207,0.6202184
30,ALM,0.4038692,0.60914606
30,SQP,0.010128045,0.018959058
45,penalty,0.37198198,0.5798865
45,ALM,0.36837918,0.5718358
45,SQP,0.007748047,0.014678802
150,penalty,0.43385857,0.6261637
150,ALM,0.37658525,0.58322203
150,SQP,0.012134598,0.02516985
300,penalty,0.4044914,0.5991611
300,ALM,0.38771963,0.59099114
300,SQP,0.024493514,0.045761418
