Number of Pretraining Data,Method,Absolute Error,Relative Error
30,penalty,0.13069531,0.25007173
30,ALM,0.18463637,0.31583518
30,SQP,0.043090444,0.08089114
45,penalty,0.026965115,0.05011293
45,ALM,0.37533936,0.56459653
45,SQP,0.003372568,0.0095455
150,penalty,0.03641328,0.068362385
150,ALM,0.030014038,0.055390853
150,SQP,0.002562705,0.00655235
300,penalty,0.014759463,0.02720746
300,ALM,0.0335834,0.061677508
300,SQP,0.00288917,0.006499918
