absolute_error,l2_relative_error,activation,experiment,Beta
0.009327476844191551,0.01984693668782711,tanh,SQP_experiment,30
0.6100748181343079,0.9811045527458191,tanh,SQP_experiment,30
0.03585541248321533,0.16582608222961426,tanh,SQP_experiment,30
0.025536950677633286,0.09727080911397934,tanh,SQP_experiment,30
