Number of Training Data,Method,Absolute Error,Relative Error
100,penalty,0.06071849,0.1115253
100,ALM,0.055912968,0.100784324
100,SQP,0.011014679,0.03130261
200,penalty,0.3244323,0.5177912
200,ALM,0.04342229,0.09158543
200,SQP,0.00833368,0.026756022
500,penalty,0.03832529,0.06996116
500,ALM,0.034885038,0.06289976
500,SQP,0.004208007,0.010483665
1000,penalty,0.03641328,0.068362385
1000,ALM,0.030014038,0.055390853
1000,SQP,0.002562705,0.00655235
