Number of Training Data,Method,Absolute Error,Relative Error
100,penalty,0.35294172,0.5531937
100,ALM,0.35658085,0.56854784
100,SQP,0.020639129,0.06708725
200,penalty,0.43211123,0.6294007
200,ALM,0.42787293,0.62427574
200,SQP,0.012046201,0.024825696
500,penalty,0.41852617,0.61454535
500,ALM,0.41972068,0.6176703
500,SQP,0.009459752,0.018504655
1000,penalty,0.43385857,0.6261637
1000,ALM,0.37658525,0.58322203
1000,SQP,0.012134598,0.02516985
