Number of Training Data,Method,Absolute Error,Relative Error
100,penalty,0.57689947,0.9466772
100,ALM,0.74994725,1.3071716
100,SQP,0.20258728,0.65930676
200,penalty,0.5756221,0.9348365
200,ALM,0.60329443,0.97255456
200,SQP,0.09420187,0.4104219
500,penalty,0.5671141,0.92889804
500,ALM,0.64246935,1.026557
500,SQP,0.021642113,0.1440848
1000,penalty,0.5157208,0.8746435
1000,ALM,0.48209116,0.84787446
1000,SQP,0.007236578,0.032146387
