NN Depth,Method,Absolute Error,Relative Error
1,penalty,0.05215661,0.09102643
1,ALM,0.049690112,0.087918
1,SQP,0.027006438,0.049923826
2,penalty,0.04446805,0.07955874
2,ALM,0.045809485,0.07983104
2,SQP,0.020343408,0.044309184
3,penalty,0.039842308,0.08576722
3,ALM,0.032783158,0.062608264
3,SQP,0.009143429,0.019035736
4,penalty,0.03641328,0.068362385
4,ALM,0.030014038,0.055390853
4,SQP,0.002562705,0.00655235
