NN Depth,Method,Absolute Error,Relative Error
1,penalty,0.23057221,0.41650727
1,ALM,0.3609638,0.70346266
1,SQP,0.11872557,0.18507516
2,penalty,0.050922826,0.11544006
2,ALM,0.042548746,0.08268124
2,SQP,0.017690003,0.04034285
3,penalty,0.3753549,0.5845532
3,ALM,0.3761693,0.5799053
3,SQP,0.025978051,0.0454346
4,penalty,0.43385857,0.6261637
4,ALM,0.37658525,0.58322203
4,SQP,0.012134598,0.02516985
