experiment,absolute_error,l2_relative_error,activation,Beta
l2^2_Penalty_experiment,0.5751119,0.93666565,tanh,30
l2_Penalty_experiment,0.6153473,0.9816532,tanh,30
Augmented_Lag_experiment,0.5782651,0.9394821,tanh,30
