NN Width,Method,Absolute Error,Relative Error
10,penalty,0.6243766,1.0387979
10,ALM,0.71078444,1.2062482
10,SQP,0.6078904,0.97201616
20,penalty,0.5537634,0.9138013
20,ALM,0.70812523,1.1915549
20,SQP,0.00922675,0.023890195
30,penalty,0.6330937,1.0072157
30,ALM,0.6899447,1.1418818
30,SQP,0.015562742,0.047814753
40,penalty,0.5613242,0.92274785
40,ALM,0.68464833,1.1392531
40,SQP,0.007698683,0.025739932
50,penalty,0.5157208,0.8746435
50,ALM,0.48209116,0.84787446
50,SQP,0.007236578,0.032146387
