NN Width,Method,Absolute Error,Relative Error
10,penalty,0.31436476,0.4866524
10,ALM,0.42125657,0.6020195
10,SQP,0.28634647,0.4461771
20,penalty,0.30335984,0.4631068
20,ALM,0.2425352,0.41200906
20,SQP,0.01891836,0.0348198
30,penalty,0.0961695,0.15221862
30,ALM,0.080285296,0.12947233
30,SQP,0.025302004,0.045629207
40,penalty,0.28220212,0.4584746
40,ALM,0.29713535,0.47294948
40,SQP,0.010201148,0.020930875
50,penalty,0.43385857,0.6261637
50,ALM,0.37658525,0.58322203
50,SQP,0.012134598,0.02516985
